Rijeci,Leme
tiho,tiho
uživali,uživati
božje,božji
smije,smjeti
u,u
je,biti
razlike,razlika
okoliša,okoliš
droljom,drolja
usta,usta
dosjetiti,dosjetiti
koje,koji
to,taj
dosta,dosta
uspjeli,uspjeti
izvedena,izvesti
lipnja,lipanj
kalorija,kalorija
i,i
sve,sav
podnio,podnijeti
gdje,gdje
verzija,verzija
sam,biti
i,i
međutim,međutim
nesvijest,nesvijest
da,da
mu,on
tvom,tvoj
kako,kako
oni,onaj
su,biti
trajali,trajati
kojih,koji
na,na
i,i
priopćila,priopćiti
otvara,otvarati
universal,universal
koje,koji
prvo,prvo
od,od
jeansa,jeans
novi,nov
dotičem,doticati
to,taj
središnju,središnji
afirmaciji,afirmacija
i,i
mimi,mimi
iskrenost,iskrenost
svemu,sav
sebe,sebe
bukureštu,bukurešt
u,u
dobri,dobar
bi,biti
grada,grad
do,do
su,biti
izvršenja,izvršenje
korisnika,korisnik
stranke,stranka
potreba,potreba
nekoliko,nekoliko
samo,samo
kontinuirano,kontinuirano
političkim,politički
tv,tv
je,biti
naša,naš
početku,početak
je,biti
portala,portal
tolerantnim,tolerantan
ministarstvo,ministarstvo
i,i
i,i
ovaj,ovaj
okrenite,okrenuti
sreću,sreća
u,u
jeste,biti
je,biti
rasporedu,raspored
vas,vi
victora,victor
dobra,dobar
i,i
vino,vino
promjenu,promjena
su,biti
organizirati,organizirati
i,i
na,na
temeljenim,temeljiti
života,život
pack,pack
no,no
novca,novac
dug,dug
omegi,omega
do,do
je,biti
prostorom,prostor
te,te
očitom,očit
će,htjeti
se,sebe
umjetničkog,umjetnički
lijeve,lijevi
kod,kod
bez,bez
ispunjavaju,ispunjavati
vidi,vidjeti
sa,sa
otputuje,otputovati
i,i
čini,činiti
strujama,struja
preseljenja,preseljenje
premijer,premijer
najdražom,drag
izgraditi,izgraditi
automatsko,automatski
pogodnosti,pogodnost
pozajmljivanje,pozajmljivanje
čamcem,čamac
trećeg,treći
takvu,takav
starog,star
poboljšati,poboljšati
koju,koji
prava,pravo
takvo,takav
na,na
nije,biti
je,biti
6,6
dalje,daleko
zatvora,zatvor
koju,koji
bilo,bilo
svoje,svoj
u,u
baš,baš
znanstvenom,znanstven
ni,ni
štite,štititi
to,taj
se,sebe
i,i
isključivo,isključivo
s,sa
gozbu,gozba
vjerujemo,vjerovati
zadovoljit,zadovoljiti
bluesu,blues
diže,dizati
usvojenim,usvojiti
galerija,galerija
kobasica,kobasica
zagreb,zagreb
grčkim,grčki
frekvencija,frekvencija
i,i
kosovu,kosovo
prošlu,prošli
će,htjeti
je,biti
finska,finska
zašto,zašto
maznuo,maznuti
na,na
od,od
sklopu,sklop
igrač,igrač
gospodarskog,gospodarski
međuvremenu,međuvrijeme
su,biti
tamo,tamo
odgovor,odgovor
za,za
zakonu,zakon
gotovo,gotovo
posljednje,posljednji
često,često
zbrisana,zbrisati
ili,ili
ići,ići
poglavica,poglavica
hamamelis,hamamelis
beogradskom,beogradski
loptu,lopta
signalom,signal
platforme,platforma
nego,nego
razvoju,razvoj
obično,obično
kaufland,kaufland
što,što
okrenuli,okrenuti
svim,sav
i,i
zabio,zabiti
elektronsku,elektronski
na,na
s,sa
kaj,kaj
unatoč,unatoč
bih,bih
vraćaju,vraćati
je,biti
godine,godina
planiran,planirati
škole,škola
nagrađivanog,nagrađivati
koje,koji
muzičkom,muzički
europski,europski
gdje,gdje
ateni,atena
ali,ali
glavu,glava
iz,iz
dijete,dijete
od,od
je,biti
gola,gol
republic,republic
ćete,htjeti
bila,biti
je,biti
violeti,violeta
david,david
poslušati,poslušati
koje,koji
i,i
redatelja,redatelj
mehanizam,mehanizam
postigle,postići
znanstvenici,znanstvenik
preuzeti,preuzeti
odmah,odmah
eu,eu
a,a
u,u
vozi,voziti
s,sa
socijalno,socijalno
zajedničke,zajednički
koji,koji
iskazala,iskazati
talijane,talijan
vrijeme,vrijeme
način,način
i,i
vratio,vratiti
da,da
njega,on
političke,politički
gotovo,gotovo
zbog,zbog
treba,trebati
raspravu,rasprava
posljedice,posljedica
hol,hol
ljudi,čovjek
o,o
je,biti
područja,područje
kakva,kakav
da,da
operacije,operacija
mora,morati
i,i
dvije,dva
ruku,ruka
r,r
hrvatskoj,hrvatska
samo,samo
istospolnim,istospolni
i,i
promatranje,promatranje
policija,policija
oceana,ocean
proizvođačima,proizvođač
proširila,proširiti
sola,sola
bio,biti
folklorne,folkloran
je,biti
mene,ja
sad,sad
opravdanim,opravdati
povezane,povezan
ipak,ipak
kapital,kapital
cijene,cijena
je,biti
agencija,agencija
iskustva,iskustvo
foto,foto
prijava,prijava
tomtom,tomtom
covera,cover
mississippi,mississippi
u,u
i,i
kandidaturu,kandidatura
nasmijala,nasmijati
bilježimo,bilježiti
duboke,dubok
najpoznatijim,poznat
u,u
ovoga,ovaj
naći,naći
protivnik,protivnik
direktor,direktor
njegove,njegov
ličnosti,ličnost
ovdje,ovdje
došlo,doći
nagrade,nagrada
gruba,grub
će,htjeti
kad,kad
i,i
otvorenu,otvoren
4,4
vam,vi
uspješniji,uspješan
je,biti
najboljeg,dobar
nažalost,nažalost
burkaya,burkay
u,u
kosti,kost
dok,dok
industrije,industrija
za,za
odlikovana,odlikovati
ih,oni
odgovornost,odgovornost
albanaca,albanac
25dnevni,25dnevni
možda,možda
zračnoj,zračan
se,sebe
sa,sa
uz,uz
luka,luka
su,biti
koje,koji
jasnije,jasno
kolekcija,kolekcija
i,i
štetno,štetan
sa,sa
potrebno,potreban
desno,desno
neizbježan,neizbježan
liječenje,liječenje
pritiskom,pritisak
nastavila,nastaviti
setimes,setimes
kamena,kamen
završili,završiti
koji,koji
barić,barić
objavljenim,objavljen
prije,prije
stanica,stanica
crna,crna
potvrdilo,potvrditi
se,sebe
sklopu,sklop
do,do
relevantne,relevantan
volonterski,volonterski
je,biti
splitski,splitski
zagorca,zagorec
kupcima,kupac
kao,kao
mi,mi
odgovoran,odgovoran
simptomima,simptom
o,o
s,sa
li,li
no,no
financija,financije
polovicu,polovica
mdf,mdf
između,između
radnika,radnik
mandata,mandat
prvu,prvi
oni,oni
ministarstva,ministarstvo
čelu,čelo
pokazatelj,pokazatelj
poslova,posao
ovog,ovaj
godine,godina
tagovima,tag
hrvatska,hrvatska
u,u
atenu,atena
usb,usb
iznimno,iznimno
dvadesetak,dvadesetak
tržišta,tržište
će,htjeti
recimo,reći
potpuna,potpun
i,i
velikoj,velik
pet,pet
bio,biti
željela,željeti
mi,ja
je,biti
i,i
je,biti
policijske,policijski
je,biti
i,i
povjerenja,povjerenje
u,u
godine,godina
detalje,detalj
vrlo,vrlo
ako,ako
se,sebe
poslova,posao
je,biti
proizvođača,proizvođač
rastu,rasti
veće,velik
imali,imati
na,na
13,13
mrežu,mreža
nedavne,nedavan
mi,ja
goes,goes
krevetu,krevet
će,htjeti
uređaja,uređaj
se,sebe
dodatnih,dodatan
pjesma,pjesma
ne,ne
ako,ako
naziva,nazivati
mir,mir
otišao,otići
jednu,jedan
po,po
je,biti
prateći,prateći
ropske,ropski
što,što
naravno,naravno
rovinjski,rovinjski
za,za
sviranju,sviranje
najteža,težak
cijene,cijena
i,i
išlo,ići
udio,udjel
mjera,mjera
već,već
radi,raditi
izabrala,izabrati
prevenciji,prevencija
stručnu,stručan
drugi,drugi
imamo,imati
koje,koji
ili,ili
ljevičarska,ljevičarski
29,29
sačuvajte,sačuvati
da,da
roman,roman
koncertno,koncertno
organizirati,organizirati
obliku,oblik
kvadratnih,kvadratni
di,di
američke,američki
ženskih,ženski
odgovor,odgovor
izgleda,izgledati
primorac,primorac
najmanji,mali
nemarno,nemarno
rođena,roditi
glazbom,glazba
ženevi,ženeva
katastrofa,katastrofa
ali,ali
predsjedanjem,predsjedanje
da,da
učenici,učenik
ili,ili
šaku,šaka
razine,razina
činilo,činiti
ponoviti,ponoviti
upravo,upravo
zajednička,zajednički
sektorskim,sektorski
samodol,samodol
ikad,ikad
rođendana,rođendan
to,taj
ne,ne
našeg,naš
i,i
mogućem,moguć
tek,tek
raščišćavanju,raščišćavanje
različitih,različit
mogućnosti,mogućnost
na,na
kod,kod
zlatni,zlatan
lijevo,lijevo
staža,staž
mi,ja
znamo,znati
te,te
teži,težiti
kao,kao
su,biti
punu,pun
2011,2011
nakon,nakon
koji,koji
demokratske,demokratski
silva,silva
turističkoj,turistički
snage,snaga
za,za
u,u
ova,ovaj
dvije,dva
to,taj
pada,padati
o,o
opušteniju,opušten
sigurno,sigurno
jose,jose
harmoniju,harmonija
new,new
benzine,benzin
ovim,ovaj
najboljih,dobar
udio,udio
ideala,ideal
da,da
jedan,jedan
u,u
poduzetnici,poduzetnica
realizirano,realizirati
na,na
gledala,gledati
naftnu,naftni
se,sebe
od,od
kao,kao
majo,maja
se,sebe
207,207
biti,biti
optimizirane,optimizirati
sp3,sp3
hrvatskoj,hrvatska
odabrati,odabrati
bolnicama,bolnica
s,sa
ali,ali
prvi,prvi
njega,on
te,te
jer,jer
oplemenjen,oplemeniti
britanskog,britanski
djelovanje,djelovanje
vijesti,vijest
mjesto,mjesto
psihičkim,psihički
u,u
totalno,totalno
zdjelicu,zdjelica
skučenim,skučen
je,biti
procvat,procvat
od,od
europske,europski
mobilne,mobilan
je,biti
jako,jako
maramice,maramica
u,u
hardver,hardver
sigurnosti,sigurnost
i,i
nije,biti
članove,član
risbo,risbo
predsjednika,predsjednik
protiv,protiv
jugoslavije,jugoslavija
i,i
dodatnih,dodatan
stupio,stupiti
ovisno,ovisno
će,htjeti
90,90
napreduje,napredovati
na,na
uz,uz
mu,on
zastavu,zastava
pacijenata,pacijent
su,biti
t4,t4
alergija,alergija
i,i
bailey,bailey
banovci,banovac
je,biti
n,n
je,biti
redmana,redman
jedan,jedan
svjesni,svjestan
o,o
sport,sport
najveći,velik
možda,možda
do,do
za,za
djeluje,djelovati
smrti,smrt
neki,neki
usredotočen,usredotočiti
su,biti
nisu,biti
da,da
za,za
ispitanika,ispitanik
nasilje,nasilje
političkim,politički
lokacije,lokacija
svih,sav
njenim,njen
uz,uz
u,u
će,htjeti
sam,biti
na,na
su,biti
s,sa
još,još
se,sebe
zvuči,zvučiti
dogovore,dogovor
svodi,svoditi
si,biti
veliki,velik
moje,moj
radi,raditi
protiv,protiv
napretku,napredak
25,25
kulture,kultura
je,biti
više,više
županiji,županija
i,i
ako,ako
porečki,porečki
grčka,grčka
pristupačnijom,pristupačan
nikakve,nikakav
a,a
od,od
doći,doći
13,13
grada,grad
omogućiti,omogućiti
namjerava,namjeravati
afp,afp
čip,čip
i,i
čim,čim
iznosi,iznos
2000,2000
bend,bend
puno,puno
adventskih,adventski
pristup,pristup
europskoj,europski
više,mnogo
za,za
i,i
se,sebe
su,biti
materinjem,materinji
note,nota
daje,davati
ha,ha
ovo,ovaj
14,14
češćim,čest
razgovarale,razgovarati
bonovi,bon
godine,godina
i,i
potkraj,potkraj
kirurški,kirurški
sebe,sebe
situacija,situacija
wilhelm,wilhelm
bili,biti
likera,liker
projekt,projekt
im,oni
američkom,američki
abdullah,abdullah
rujna,rujan
nogometnim,nogometni
prostorima,prostor
pjevala,pjevati
dana,dan
bruxellesu,bruxelles
je,biti
tuđa,tuđ
ili,ili
drugima,drugi
i,i
je,biti
sestra,sestra
vući,vući
2,2
šef,šef
i,i
učenik,učenik
bi,biti
a,a
već,već
živo,živ
joj,on
dvorane,dvorana
hibrida,hibrid
o,o
u,u
1997,1997
i,i
opterećenjem,opterećenje
dječjeg,dječji
u,u
spolova,spol
uputama,uputa
jasno,jasno
provjerite,provjeriti
poruka,poruka
smo,biti
misija,misija
ravnatelja,ravnatelj
vrijednost,vrijednost
glazbu,glazba
pismo,pismo
najboljeg,dobar
prometa,promet
žurbi,žurba
četiri,četiri
tvrtke,tvrtka
i,i
valjanih,valjan
doduše,doduše
i,i
jelly,jelly
osim,osim
za,za
je,biti
sunca,sunce
u,u
georgea,george
video,video
danskoj,danska
kojom,koji
ostalog,ostali
za,za
s,sa
nije,biti
bloga,blog
božjom,božji
podataka,podatak
of,of
i,i
glave,glava
oslikala,oslikati
u,u
godine,godina
kome,tko
netko,netko
teži,težiti
o,o
akp,akp
da,da
škole,škola
knjigama,knjiga
u,u
nje,on
milijardi,milijarda
od,od
reagirati,reagirati
sa,sa
od,od
banke,banka
kroničnih,kroničan
daleko,daleko
su,biti
poslovnih,poslovan
i,i
uzima,uzimati
na,na
uz,uz
obogaćivati,obogaćivati
od,od
najtežim,težak
redu,red
čvrsto,čvrsto
duhana,duhan
forum,forum
je,biti
biti,biti
temelju,temelj
somuna,somun
priznavanje,priznavanje
redovito,redovito
ovog,ovaj
prikladni,prikladan
javi,javiti
našao,naći
uvijek,uvijek
mora,more
je,biti
za,za
ukusnu,ukusan
nose,nositi
u,u
međunarodni,međunarodni
član,član
kapacitivnim,kapacitivan
nakon,nakon
još,još
šećer,šećer
rba,rba
još,još
prepustili,prepustiti
za,za
zaustavljanje,zaustavljanje
receptima,recept
u,u
skoplju,skopje
istina,istina
zadužen,zadužiti
i,i
novac,novac
na,na
očekuje,očekivati
iz,iz
pečuhu,pečuh
da,da
imaš,imati
žele,željeti
iznjedriše,iznjedriti
vijećnika,vijećnik
osoba,osoba
prihod,prihod
klijenti,klijent
je,biti
će,htjeti
ja,ja
on,on
je,biti
kroz,kroz
7,7
je,biti
je,biti
štimac,štimac
mjesečno,mjesečno
kazao,kazati
znam,znati
posebno,posebno
ima,imati
je,biti
je,biti
niz,niz
članstvo,članstvo
izraditi,izraditi
istoj,isti
bez,bez
u,u
pobjeđuje,pobjeđivati
šalje,slati
dana,dan
a,a
istaknuo,istaknuti
solda,sold
metala,metal
imao,imati
iskustvo,iskustvo
sve,sve
pokretanje,pokretanje
prošlogodišnji,prošlogodišnji
sati,sat
cvijeće,cvijeće
tu,tu
njegov,njegov
dva,dva
jedina,jedini
samo,samo
sreću,sreća
krista,krist
ostavku,ostavka
galaxy,galaxy
kažete,kazati
podaci,podatak
važan,važan
miru,mir
istri,istra
su,biti
radi,raditi
je,biti
blog,blog
rijedak,rijedak
fondova,fond
koji,koji
takva,takav
očiti,očit
ću,htjeti
stilove,stil
primijetili,primijetiti
koje,koji
uz,uz
je,biti
situacije,situacija
imaju,imati
poduprijeti,poduprijeti
ne,ne
2,2
mi,ja
svetišta,svetište
može,moći
također,također
mi,ja
u,u
kao,kao
od,od
bude,buditi
umjesto,umjesto
redu,red
iz,iz
programu,program
imala,imati
u,u
pomoći,pomoći
onda,onda
nekim,neki
će,htjeti
i,i
uzrokuje,uzrokovati
udruženja,udruženje
aktivom,aktiva
dvoboj,dvoboj
su,biti
o,o
čega,što
tog,taj
će,htjeti
kako,kako
okviru,okvir
čovjek,čovjek
ako,ako
2,2
vjerujem,vjerovati
i,i
muzej,muzej
dobar,dobar
oko,oko
brzo,brzo
navodeći,navoditi
s,sa
super,super
12,12
naš,naš
svijetu,svijet
ali,ali
na,na
prolaznosti,prolaznost
povlači,povlačiti
hrvatsku,hrvatski
bi,biti
ubrzo,ubrzo
milica,milica
dijagonalu,dijagonala
pamti,pamtiti
međutim,međutim
i,i
i,i
bi,biti
je,biti
boga,bog
će,htjeti
2005,2005
dobiti,dobiti
prije,prije
pravilan,pravilan
bih,biti
ministarstvo,ministarstvo
na,na
došao,doći
mnoge,mnogi
na,na
koncila,koncil
ako,ako
tako,tako
2008,2008
životu,život
tamo,tamo
malu,mala
snimke,snimka
joj,on
ornitološkom,ornitološki
priznale,priznati
prilagoditi,prilagoditi
poslodavci,poslodavac
nekom,neki
vlade,vlada
u,u
brigu,briga
osobnu,osoban
nas,mi
u,u
me,ja
njene,njen
z,z
kovanja,kovanje
u,u
novce,novac
kose,kosa
veliko,velik
ste,biti
se,sebe
uvijek,uvijek
je,biti
oko,oko
imale,imati
na,na
ili,ili
mjesečnih,mjesečan
ne,ne
benda,bend
to,taj
nisu,biti
kvalitetnije,kvalitetno
jest,biti
da,da
oratorijski,oratorijski
premijer,premijer
naša,naš
rani,ran
koji,koji
kompromisa,kompromis
već,već
to,taj
kao,kao
okolnosti,okolnost
u,u
što,što
pa,pa
zbog,zbog
stvaranju,stvaranje
i,i
koje,koji
i,i
1999,1999
zašto,zašto
slabi,slab
dok,dok
sds,sds
nevladinih,nevladin
hormoni,hormon
registra,registar
spominju,spominjati
rečenice,rečenica
hepa,hep
takav,takav
nationala,national
bi,biti
bilo,bilo
za,za
mara,mara
114,114
sviđa,sviđati
kazalištu,kazalište
su,biti
fore,fora
tijekom,tijekom
te,te
ispovijest,ispovijest
bolje,dobro
platnog,platni
makedoniji,makedonija
logičan,logičan
mozgova,mozg
zagrebu,zagreb
ni,ni
tako,tako
nekoliko,nekoliko
je,biti
agencija,agencija
bolje,dobro
zbog,zbog
za,za
upravu,uprava
i,i
u,u
na,na
sa,sa
ugodno,ugodno
smo,biti
prirodno,prirodan
i,i
u,u
je,biti
njenim,njen
je,biti
svoj,svoj
predstavnike,predstavnik
imao,imati
vjerojatnost,vjerojatnost
rujna,rujan
nikakvu,nikakav
sam,biti
opranim,oprati
je,biti
na,na
ima,imati
operativni,operativan
da,da
samo,samo
različiti,različit
3,3
nekoliko,nekoliko
ostvari,ostvariti
ogroman,ogroman
postane,postati
mehanizam,mehanizam
vrijeme,vrijeme
karla,karl
na,na
ali,ali
smo,biti
jer,jer
dogoditi,dogoditi
tržišta,tržište
založiti,založiti
osobe,osoba
obrazovanje,obrazovanje
sama,sam
sa,sa
kaže,kazati
radi,radi
sa,sa
došla,doći
u,u
suradnje,suradnja
mu,on
sluša,slušati
oko,oko
su,biti
oporbene,oporbeni
kruh,kruh
suglasnosti,suglasnost
dano,dati
bolja,dobar
vrlo,vrlo
također,također
pokreće,pokretati
prvenstveno,prvenstveno
stariji,star
se,sebe
u,u
finalista,finalist
unutar,unutar
te,te
obuku,obuka
tako,tako
old,old
ustava,ustav
o,o
kojima,koji
navela,navesti
cijeniti,cijeniti
otkazala,otkazati
prometu,promet
volim,voljeti
nema,nemati
bi,biti
blixen,blixen
mjeseca,mjesec
nije,biti
društva,društvo
platinum,platinum
vodio,voditi
veću,velik
interaktivno,interaktivan
koja,koji
svakodnevno,svakodnevno
hotelu,hotel
na,na
kojim,koji
o,o
od,od
kaže,kazati
je,biti
njegovi,njegov
pogovora,pogovor
da,da
i,i
skladu,sklad
je,biti
a,a
navodni,navodni
crnoj,crna
h1n1,h1n1
čuvati,čuvati
vlada,vlada
nastupu,nastup
zatim,zatim
kulture,kultura
potvrđena,potvrditi
oko,oko
on,on
upoznao,upoznati
tema,tema
će,htjeti
kojoj,koji
preporuke,preporuka
u,u
nove,nov
kampanjca,kampanjac
ih,oni
grčke,grčka
2,2
ukupna,ukupan
2010,2010
s,sa
života,život
ne,ne
dosadne,dosadan
može,moći
u,u
i,i
htjeli,htjeti
hrvatski,hrvatski
za,za
početkom,početkom
života,život
kroz,kroz
nešto,nešto
je,biti
je,biti
srednju,srednji
da,da
zvučnim,zvučan
strane,strana
i,i
koje,koji
isto,isti
na,na
četvrtak,četvrtak
je,biti
orijentirani,orijentiran
svih,sav
sastava,sastav
dojmljivom,dojmljiv
sa,sa
kako,kako
odrasla,odrastao
stupate,stupati
tempomat,tempomat
online,online
knjiga,knjiga
podržan,podržati
u,u
mediju,medij
kosova,kosovo
jednostavnosti,jednostavnost
je,biti
njegov,njegov
li,li
hormonalnih,hormonalan
i,i
knjiga,knjiga
kvalitetnog,kvalitetan
sati,sat
igrač,igrač
neke,neki
vijesti,vijest
je,biti
molimo,moliti
hp,hp
praksa,praksa
natjecanjima,natjecanje
ribom,riba
uređaja,uređaj
nekih,neki
nikolu,nikola
da,da
iza,iza
pročitajmo,pročitati
upravo,upravo
biti,biti
pojedinca,pojedinac
vrhunski,vrhunski
su,biti
će,htjeti
ulaganja,ulaganje
prosinca,prosinac
deset,deset
autihr,autihr
mora,morati
vlasništvo,vlasništvo
okolini,okolina
zajednicu,zajednica
prije,prije
zaključeno,zaključiti
je,biti
autor,autor
novi,nov
da,da
drugom,drugi
vremenima,vrijeme
donosi,donositi
studenata,student
jednostavna,jednostavan
ona,oni
u,u
tako,tako
gurali,gurati
ponedjeljak,ponedjeljak
da,da
obzirom,obzir
iz,iz
kriterija,kriterij
postojala,postojati
političkih,politički
s60,s60
su,biti
bend,bend
nametnule,nametnuti
solidarnosti,solidarnost
u,u
to,taj
majka,majka
će,htjeti
na,na
laje,lajati
mora,more
godine,godina
će,htjeti
je,biti
faks,faks
o,o
imam,imati
o,o
da,da
se,sebe
čovjek,čovjek
chicaga,chicago
fakulteta,fakultet
a,a
staviti,staviti
bolji,dobar
znaju,znati
ove,ovaj
ukupnim,ukupan
dobili,dobiti
obavljanja,obavljanje
glavne,glavni
ekološkoj,ekološki
utkana,utkati
masivna,masivan
hrvatskom,hrvatski
pod,pod
se,sebe
od,od
tko,tko
merkur,merkur
smo,biti
starije,star
koje,koji
navike,navika
je,biti
u,u
je,biti
u,u
će,htjeti
je,biti
m,m
od,od
vrlo,vrlo
prosvjedovali,prosvjedovati
poput,poput
mora,morati
čuješ,čuti
stane,stati
80,80
gorica,gorica
pomorska,pomorski
za,za
mi,mi
tjedana,tjedan
i,i
neće,htjeti
ulogu,uloga
podsvijesti,podsvijest
globalne,globalan
proračunavaju,proračunavati
studijima,studij
za,za
školi,škola
koju,koji
iznese,iznijeti
njemačkoj,njemačka
super,super
jesen,jesen
upozoriti,upozoriti
godišnji,godišnji
te,te
sati,sat
početkom,početkom
implantat,implantat
za,za
komplikacije,komplikacija
mnogim,mnogi
zadovoljni,zadovoljan
potrebna,potreban
to,taj
prva,prvi
poduzetništva,poduzetništvo
da,da
ideja,ideja
i,i
spisateljice,spisateljica
sprejati,sprejati
moram,morati
paliti,paliti
i,i
jednog,jedan
tržišnoj,tržišni
prije,prije
s,sa
šuker,šuker
ha,ha
je,biti
ali,ali
koliko,koliko
je,biti
drugih,drugi
pa,pa
u,u
ili,ili
tzv,tzv
pozadini,pozadina
u,u
kojima,koji
a,a
za,za
na,na
georgetown,georgetown
drogu,droga
tebi,ti
kampanja,kampanja
jedinica,jedinica
ovoj,ovaj
dječaka,dječak
jer,jer
krivo,krivo
do,do
ples,ples
samu,sam
je,biti
uštedjeti,uštedjeti
u,u
na,na
krađama,krađa
eura,euro
a,a
poput,poput
predsjednik,predsjednik
3000,3000
kraljem,kralj
smatram,smatrati
jako,jako
kose,kosa
osnovu,osnova
podignute,podignuti
su,biti
se,sebe
je,biti
32,32
poput,poput
dođe,doći
i,i
podijeljeni,podijeliti
težiti,težiti
i,i
s,sa
je,biti
nam,mi
među,među
samo,samo
u,u
ovome,ovaj
si,biti
52godišnji,52godišnji
na,na
se,sebe
se,sebe
interval,interval
svojih,svoj
su,biti
nakon,nakon
doputovati,doputovati
drugog,drugi
talijanski,talijanski
kako,kako
piše,pisati
stajao,stajati
diana,diana
će,htjeti
te,te
formalne,formalan
ne,ne
jer,jer
knjiga,knjiga
profesionalni,profesionalan
ostanemo,ostati
pripadaju,pripadati
njen,njen
drugi,drugi
dio,dio
sa,sa
novog,nov
prvenstveno,prvenstveno
uključuje,uključivati
studiranja,studiranje
klor,klor
put,put
će,htjeti
gitarističke,gitaristički
cipelama,cipela
pružiti,pružiti
kako,kako
zastupnik,zastupnik
tog,taj
dan,dan
visokoškolske,visokoškolski
apsolutnu,apsolutan
ne,ne
po,po
povesti,povesti
i,i
365,365
osjećaja,osjećaj
svim,sav
navodi,navoditi
glavom,glava
onih,onaj
josipa,josip
studij,studij
takvih,takav
im,oni
hrvatskog,hrvatski
skype,skype
je,biti
vrlo,vrlo
javnost,javnost
imotskoga,imotski
za,za
ogranak,ogranak
vrlo,vrlo
fiksirane,fiksirati
trenutke,trenutak
u,u
godine,godina
ii,ii
ukupnom,ukupan
nas,mi
i,i
očekivanju,očekivanje
godina,godina
će,htjeti
a,a
stari,star
ujutro,ujutro
kartu,karta
dvije,dva
2,2
naročito,naročito
regiji,regija
ženskoj,ženski
plovi,ploviti
nije,biti
ali,ali
ne,ne
odlučna,odlučan
koji,koji
napredovanju,napredovanje
realno,realno
skupinu,skupina
kolače,kolač
smo,biti
ali,ali
trebaju,trebati
